NAME,LAT,LONG
Biological Sciences Building,-123.251339,49.264469
Buchanan Building,-123.254441,49.268701
Earth and Ocean Sciences,-123.25249,49.26251
Hebb Building,-123.251663,49.266129
Institute for Computing Information and Cognitive Systems / Computer Science,-123.248832,49.261174
Irving K. Barber Learning Centre,-123.252738,49.267595
P. A. Woodward Instructional Resources Centre,-123.246848,49.264822
UBC Life Building,-123.250062,49.267434
AMS Student Nest,-123.249807,49.26657
"Orchard Commons - Vantage College, Bartlett/Braeburn House",-123.251332,49.260461